소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
부산광역시,시청사,Y,N,도시가스(LNG),128.728,90.141,50.365,17.676,16.418,22.521,94.385,89.776,20.867,15.221,18.384,81.901
부산광역시,시청사,Y,N,전력,478.136,402.594,429.225,405.287,429.611,507.43,613.921,602.003,520.932,447.57,412.279,450.283
부산광역시,교통문화연수원,Y,N,도시가스(LNG),0.085,0.072,0.074,0,0,0,0,0.07,0.002,0,0,0
부산광역시,교통문화연수원,Y,N,전력,5.308,5.738,5.169,4.574,3.763,3.726,4.19,3.814,3.355,3.095,4.781,6.568
부산광역시,센텀벤처타운,Y,N,도시가스(LNG),1.542,1.474,1.28,0,0.184,0.317,0.733,2.111,1.921,0.02,1.639,2.144
부산광역시,센텀벤처타운,Y,N,전력,2.155,2.019,1.515,1.279,1.065,1.399,1.452,1.62,1.6,1.126,1.987,2.917
부산광역시,부산민속예술관,Y,N,전력,1.08,0.945,0.953,1.09,0.549,0.571,1.11,0.583,0.942,1.181,1.215,1.824
부산광역시,수영사적원,Y,N,전력,0.029,0.034,0.023,0.024,0.02,0.021,0.028,0.047,0.073,0.04,0.036,0.03
부산광역시,부산글로벌빌리지,Y,N,도시가스(LNG),6.453,4.46,0.457,0.884,0.184,1.332,0.193,0.112,0.158,2.343,2.378,4.019
부산광역시,부산글로벌빌리지,Y,N,전력,18.408,14.038,11.142,9.699,8.178,10.245,14.264,14.06,12.197,10.662,12.155,15.632
부산광역시,벡스코,Y,N,도시가스(LNG),61.674,52.764,34.229,1.424,0.479,35.441,48.634,32.534,22.6,17.733,11.752,56.943
부산광역시,벡스코,Y,N,전력,134.498,113.7,125.074,145.275,163.914,237.608,236.371,190.203,188.508,272.523,197.735,159.892
부산광역시,APEC 누리마루 하우스,Y,N,도시가스(LNG),3.019,0.669,0.575,0.451,0.468,0.543,3.124,1.273,0.486,0.385,0.864,2.804
부산광역시,APEC 누리마루 하우스,Y,N,전력,15.715,12.573,12.813,11.893,12.037,11.804,15.202,13.786,11.903,12.323,12.455,14.587
부산광역시,디자인센터,Y,N,도시가스(LNG),25.291,19.24,13.677,3.124,2.559,14.156,25.201,25.155,17.24,8.098,11.924,26.951
부산광역시,디자인센터,Y,N,전력,45.002,39.114,38.32,35.686,34.016,38.271,49.211,48.235,40.239,38.941,40.181,48.5
부산광역시,시립정신병원,Y,N,도시가스(LNG),4.231,3.435,3.826,3.828,3.262,3.509,3.354,2.8,3.233,3.375,3.426,3.82
부산광역시,시립정신병원,Y,N,전력,67.008,53.101,46.655,35.853,29.125,32.856,45.02,43.966,37.043,34.601,41.971,62.598
부산광역시,부산광역시 경유차량,Y,N,가스/디젤 오일(경유),11.934,11.578,13.571,12.037,10.358,11.443,14.598,13.303,11.451,12.696,11.034,14.752
부산광역시,부산광역시 휘발유차량,Y,N,휘발유,4.082,3.222,3.574,3.875,3.053,5.218,6.216,4.535,5.544,5.387,5.671,5.82
부산광역시,청소년활동진흥센터,Y,N,전력,1.18,0.953,0.533,0.501,0.391,0.384,,0.783,0.535,0.438,0.565,0.565
부산광역시,청소년상담복지센터,Y,N,전력,1.684,1.681,1.389,1.355,1.198,1.23,1.183,1.277,1.359,1.103,1.36,1.471
부산광역시,청소년종합지원센터,Y,N,실내 등유,1.076,1.323,0,1.822,0,0,0,0,0.638,0.682,0.702,0.776
부산광역시,청소년종합지원센터,Y,N,전력,6.591,7.135,5.444,4.278,2.96,2.893,3.502,4.765,4.681,3.325,3.968,5.433
부산광역시,청소년종합지원센터,Y,N,프로판,0.351,0.234,0.351,0.351,0.234,0.351,0.234,0.234,0.234,0.234,0.234,0.351
부산광역시,부산여자단기청소년쉼터,Y,N,도시가스(LNG),0.669,0.825,0.696,0.588,0.343,0.203,0.114,0.101,0.053,0.083,0.201,0.545
부산광역시,부산여자단기청소년쉼터,Y,N,전력,1.068,1.068,2.064,1.088,0.871,0.634,0.648,0.9,1.476,0.901,0.673,0.808
부산광역시,금정청소년수련관,Y,N,전력,2.625,2.898,1.839,2.091,1.919,1.635,1.71,2.404,2.042,1.911,1.797,2.037
부산광역시,금정청소년수련관,Y,N,프로판,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,금곡청소년수련관,Y,N,도시가스(LNG),0.133,0,0,0,0,0,0,0.118,0,0,0,0
부산광역시,금곡청소년수련관,Y,N,전력,7.683,7.43,6.276,6.626,5.115,5.422,6.357,8.822,7.254,6.429,7.401,9.988
부산광역시,함지골청소년수련관,Y,N,도시가스(LNG),0.438,0.748,0.836,0.683,0.645,0.282,0.193,0.58,0.177,0.263,0.273,0.427
부산광역시,함지골청소년수련관,Y,N,전력,7.848,6.689,8.164,6.74,6.077,5.614,6.954,6.962,4.735,4.818,5.21,7.245
부산광역시,양정청소년수련관,Y,N,보일러 등유,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,양정청소년수련관,Y,N,전력,5.525,5.513,4.549,4.366,3.474,4.056,5.26,7.646,5.298,4.542,5.072,4.505
부산광역시,청소년종합지원센터 경유차량,Y,N,가스/디젤 오일(경유),0,0.326,0.512,0,0.374,0.541,0.422,0.056,0.531,0.427,0.536,0.908
부산광역시,청소년종합지원센터 휘발유차량,Y,N,휘발유,0,0.081,0.2,0.088,0.147,0.101,0.171,0.16,0.16,0.088,0.191,0.143
부산광역시,부산광역시 여자단기청소년쉼터 휘발유차량,Y,N,휘발유,0,0.046,0.081,0.037,0.081,0.086,0.042,0.035,0.075,0.04,0.046,0.035
부산광역시,금곡청소년수련관 휘발유차량,Y,N,휘발유,0.374,0.22,0.22,0.176,0.277,0.176,0.187,0.22,0.176,0.22,0.22,0.22
부산광역시,함지골청소년수련관 경유차량,Y,N,가스/디젤 오일(경유),0.374,0.403,0.257,0.342,0.379,0.475,0.356,0.438,0.441,0.592,0.334,0.433
부산광역시,양정청소년수련관 경유차량,Y,N,가스/디젤 오일(경유),0.093,0,0,0,0.165,0,0,0.114,0,0,0,0
부산광역시,양정청소년수련관 휘발유차량,Y,N,휘발유,0.079,0.046,0.059,0,0.044,0.059,0.055,0.055,0.042,0,0.106,0.059
부산광역시,교통문화연수원 가스차량,Y,N,LPG(차량),0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,교통문화연수원 휘발유차량,Y,N,휘발유,0.154,0.076,0.075,0.087,0,0,0.069,0,0.069,0.039,0.068,0.07
부산광역시,부산글로벌빌리지 경유차량,Y,N,가스/디젤 오일(경유),0.252,0.241,0.249,0.271,0.26,0.276,0.271,0.284,0.247,0.287,0.271,0.257
부산광역시,부산시립정신병원 경유차량,Y,N,가스/디젤 오일(경유),1.194,1.117,1.115,1.006,0.979,0.985,1.059,1.056,1.006,0.979,1.003,1.032
부산광역시,육아종합지원센터,Y,N,전력,8.144,7.181,5.684,3.868,3.137,4.046,5.041,6.251,5.156,4.092,4.113,6.846
부산광역시,디자인센터 휘발유차량,Y,N,휘발유,0.411,0.404,0.835,0.332,0.36,0.637,0.62,0.269,0.269,0.488,0.124,0.382
부산광역시,부산광역시 가스차량,Y,N,LPG(차량),0.053,0,0.087,0,0,0.056,0.051,0.041,0,0,0,0.054
부산광역시,부산광역시 체육회관,Y,N,도시가스(LNG),11.844,11.533,13.836,10.64,6.981,5.06,7.895,15.46,6.079,5.88,4.727,6.709
부산광역시,부산광역시 체육회관,Y,N,전력,9.268,11.16,10.428,10.505,9.325,9.933,11.466,10.935,9.914,8.279,9.955,11.805
부산광역시,부산국민체육센터,Y,N,도시가스(LNG),1.245,0.687,0,0,0,0,0,0,0.079,0,0,0
부산광역시,부산국민체육센터,Y,N,전력,45.366,44.777,48.619,40.333,45.443,46.051,43.758,37.737,32.536,43.651,51.984,53.57
부산광역시,올림픽기념 국민생활관,Y,N,도시가스(LNG),2.938,1.846,1.194,1.38,5.36,2.763,3.964,2.857,3.581,2.752,3.406,3.765
부산광역시,올림픽기념 국민생활관,Y,N,실내 등유,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,올림픽기념 국민생활관,Y,N,전력,19.88,34.607,59.099,56.008,44.451,43.934,41.803,44.201,40.384,35.128,44.699,62.579
부산광역시,부산광역시 체육회관 경유차량,Y,N,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,부산광역시 체육회관 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,부산광역시 국민체육센터 경유차량,Y,N,가스/디젤 오일(경유),0.462,0.459,0.459,0.287,0.143,0.422,0.268,0.265,0.382,0.504,0.249,0.39
부산광역시,올림픽기념 국민생활관 경유차량,Y,N,가스/디젤 오일(경유),0,0.265,0.265,0.133,0.265,0.398,0.265,0.133,0.265,0.265,0.265,0.265
부산광역시,올림픽기념 국민생활관 휘발유차량,Y,N,휘발유,0.31,0.193,0.099,0.207,0.171,0.35,0.101,0.259,0.264,0.187,0.198,0.255
부산광역시,금정청소년수련관 휘발유차량,Y,N,휘발유,0.073,0.077,0.075,0.142,0.068,0.137,0.068,0.13,0.066,0.039,0.126,0.134
부산광역시,부산광역시 CNG차량,Y,N,CNG(차량),1.335,1.243,1.491,2.069,1.197,1.172,1.807,1.252,1.599,1.197,1.869,2.498
부산광역시,벡스코 제2전시장,Y,N,도시가스(LNG),2.864,2.964,4.215,0.998,0.116,1.551,0.68,4.948,11.076,4.66,7.414,29.957
부산광역시,벡스코 제2전시장,Y,N,전력,104.061,88.995,77.171,76.567,78.842,98.303,144.896,143.464,136.755,127.258,111.131,119.592
부산광역시,벡스코 오디토리움,Y,N,도시가스(LNG),8.359,0.243,4.312,0.317,0.851,0.595,1.107,0.766,1.321,0.967,4.093,24.93
부산광역시,벡스코 오디토리움,Y,N,전력,37.379,27.254,26.601,25.773,26.632,20.625,32.329,28.151,31.344,31.715,30.308,49.069
부산광역시,교통문화연수원 경유차량,Y,N,가스/디젤 오일(경유),0.214,0.279,0.104,0.104,0.3,0.412,0,0.115,0,0.568,0.315,0.112
부산광역시,디자인센터 경유차량,Y,N,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,청소년활동진흥센터 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,구덕민속예술관,Y,N,전력,2.437,2.508,1.842,1.722,1.023,0.93,0.902,1.167,0.974,1.035,1.067,1.806
부산광역시,다대포민속예술관,Y,N,전력,0.5,0.472,0.313,0.253,0.186,0.172,0.197,0.322,0.274,0.206,0.205,0.335
부산광역시,육아종합지원센터 북구분소,Y,Y,전력,0.293,0.49,0.483,0.405,0.328,0.575,0.816,1.098,0.423,0.524,0.492,0.832
부산광역시,육아종합지원센터 서구분소,Y,Y,전력,0.813,0.714,0.568,0.508,0.306,0.314,0.406,,0.476,0.412,0.407,0.647
부산광역시,부산전통예술관,Y,N,전력,2.288,1.761,1.398,1.321,0.746,0.829,0.92,1.205,1.188,1.05,1.171,1.653
부산광역시,청소년상담복지센터 휘발유차량,Y,N,휘발유,0,0,0.055,0,0,0.059,0,0,0.022,0,0.051,0.094
반여농산물도매시장관리사업소,반여농산물도매시장,Y,N,도시가스(LNG),3.369,3.375,1.656,0.195,0.011,1.124,4.723,3.028,2.179,0.094,0.794,2.579
반여농산물도매시장관리사업소,반여농산물도매시장,Y,N,전력,24.303,20.54,20.605,17.079,18.653,25.437,31.821,31.522,23.133,18.818,18.132,22.53
반여농산물도매시장관리사업소,반여농산물도매시장 경유차량,Y,N,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0.106,0,0
반여농산물도매시장관리사업소,반여농산물도매시장 휘발유차량,Y,N,휘발유,0,0.081,0.092,0.088,0,0.084,0.088,0.088,0.092,0,0.088,0.029
반여농산물도매시장관리사업소,반여농산물도매시장 발전기,Y,N,가스/디젤 오일(경유),0.037,0.037,0.184,0.037,0.105,0.052,0.052,0.071,0.052,0.052,0.052,0.052
충렬사관리사무소,청사,Y,N,보일러 등유,1.904,1.484,0.94,0,0,0,0,0,0,0,1.484,1.978
충렬사관리사무소,청사,Y,N,전력,5.071,4.955,3.984,4.943,4.345,3.808,3.624,4.555,4.024,3.999,3.527,4.705
충렬사관리사무소,충렬사관리사무소 휘발유차량,Y,N,휘발유,0.066,0,0,0.066,0,0.062,0,0,0.062,0,0,0.064
충렬사관리사무소,안락서원 청사,Y,N,전력,2.745,2.638,2.206,1.825,1.355,1.409,2.109,2.621,1.959,1.415,1.516,2.525
수산자원연구소,"연구동, 관리동, 전시장",Y,N,도시가스(LNG),8.928,9.984,6.865,3.876,0.812,8.965,5.36,12.585,12.692,8.623,6.375,3.415
수산자원연구소,"연구동, 관리동, 전시장",Y,N,전력,49.224,50.015,41.613,44.556,45.825,47.759,41.36,46.599,40.33,38.741,39.143,42.166
수산자원연구소,수산자원연구소 경유차량,Y,N,가스/디젤 오일(경유),0.239,0.724,0.47,0.831,0.876,1.414,1.651,1.152,1.112,0.778,1.104,0.379
수산자원연구소,수산자원연구소 휘발유차량,Y,N,휘발유,0.057,0.169,0.248,0.114,0.281,0.231,0.088,0.16,0.106,0.156,0.068,0.095
소방본부 특수구조단,소방본부 특수구조단,Y,N,실내 등유,1.978,1.854,2.225,0,1.484,0,0,0,0,1.978,1.978,1.375
소방본부 특수구조단,소방본부 특수구조단,Y,N,전력,9.819,8.793,7.027,6.659,6.025,6.38,7.318,7.908,6.738,5.849,6.401,8.019
엄궁농산물도매시장관리사업소,관리동,Y,N,전력,13.232,12.218,9.845,7.949,5.766,6.017,9.989,12.195,12.818,7.722,6.434,9.71
엄궁농산물도매시장관리사업소,엄궁농산물도매시장 휘발유차량,Y,N,휘발유,0.077,0.154,0,0.132,0.066,0.066,0.077,0.066,0.066,0.066,0.154,0
엄궁농산물도매시장관리사업소,엄궁농산물도매시장 경유차량,Y,N,가스/디젤 오일(경유),0.106,0,0.08,0.133,0.133,0,0.109,0.106,0,0,0.106,0
상수도사업본부,시설관리사업소 계량기검사센터,Y,N,전력,0,0,3.331,3.084,1.69,1.294,1.16,0,0,0,0,0
상수도사업본부,시설관리사업소,Y,N,가스/디젤 오일(경유),0,0,0.531,0.401,0.884,0.929,1.03,0.685,1.064,0.756,0.788,0.953
상수도사업본부,수질연구소 청사,Y,N,전력,53.34,39.055,28.423,34.228,20.557,40.43,46.932,46.783,44.097,38.945,39.075,49.797
상수도사업본부,수질연구소 경유차량,Y,N,가스/디젤 오일(경유),2.903,2.017,2.999,2.691,2.426,1.579,2.518,2.372,2.601,2.579,2.529,2.667
상수도사업본부,중동부사업소 청사,Y,N,전력,2.698,3.608,3.233,2.332,1.851,1.541,1.487,2.047,2.87,2.039,1.406,1.804
상수도사업본부,중동부사업소 경유차량,Y,N,가스/디젤 오일(경유),0.318,0.265,0.451,0.372,0.212,0.265,0.292,0.345,0.398,0.106,0.504,0.292
상수도사업본부,서부사업소 청사,Y,N,전력,3.116,3.462,2.284,2.054,1.464,1.286,1.483,2.215,1.906,1.445,1.434,2.208
상수도사업본부,서부사업소 경유차량,Y,N,가스/디젤 오일(경유),0.345,0.318,0.173,0.295,0.318,0.159,0.318,0.308,0.348,0.321,0.157,0.446
상수도사업본부,서부사업소 휘발유차량,Y,N,휘발유,0.051,0.044,0.044,0,0,0.048,0.051,0,0.055,0.062,0,0.073
상수도사업본부,영도사업소 청사,Y,N,전력,4.018,4.094,3.028,2.566,2.108,1.886,1.929,2.676,2.193,1.765,1.812,2.45
상수도사업본부,영도사업소 경유차량,Y,N,가스/디젤 오일(경유),0.295,0.154,0.21,0.207,0.167,0.101,0.111,0.08,0.085,0.154,0.106,0.119
상수도사업본부,부산진사업소 자재창고,Y,N,전력,0.017,0.02,0.016,0.022,0.017,0.015,0.014,0.018,0.015,0.014,0.016,0.017
상수도사업본부,부산진사업소 경유차량,Y,N,가스/디젤 오일(경유),0.119,0,0.162,0,0,0,0,0,0,0.074,0.151,0
상수도사업본부,북부통합사업소 청사,Y,N,전력,7.533,6.971,4.823,3.922,4.587,3.408,3.41,5.443,4.064,2.987,3.515,4.564
상수도사업본부,북부통합사업소 경유차량,Y,N,가스/디젤 오일(경유),0.478,0.523,0.815,0.74,0.6,0.547,0.695,0.361,0.52,0.507,0.483,0.459
상수도사업본부,남부사업소 청사,Y,N,전력,5.73,6.173,4.321,3.661,3.099,2.667,2.527,3.766,3.317,3.436,3.002,3.388
상수도사업본부,남부사업소 경유차량,Y,N,가스/디젤 오일(경유),0.212,0.106,0.106,0.212,0.053,0.106,0.133,0.133,0.053,0.053,0.159,0.133
상수도사업본부,북부사업소 청사,Y,N,전력,5.338,5.162,3.548,2.466,2.206,1.902,2.183,3.082,2.971,2.166,2.2,2.84
상수도사업본부,북부사업소 경유차량,Y,N,가스/디젤 오일(경유),0.809,0.398,0.372,0.318,0.239,0.133,0.133,0.133,0.106,0.244,0.106,0.361
상수도사업본부,해운대사업소 청사,Y,N,전력,3.663,3.2,2.407,2.069,1.667,1.711,1.968,2.197,1.781,1.613,2.084,2.917
상수도사업본부,해운대사업소 경유차량,Y,N,가스/디젤 오일(경유),0.239,0.106,0.08,0.133,0.167,0.239,,0,0.133,0,0.17,0.239
상수도사업본부,사하사업소 청사,Y,N,전력,6.319,6.21,4.47,3.275,2.362,2.137,2.202,3.442,2.804,2.069,2.173,3.561
상수도사업본부,사하사업소 경유차량,Y,N,가스/디젤 오일(경유),0,0.425,0.141,0.08,0,0.08,0,0.106,0,0.106,0.074,0.348
상수도사업본부,금정사업소 경유차량,Y,N,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0,0,0
상수도사업본부,기장사업소 경유차량,Y,N,가스/디젤 오일(경유),0.637,0.743,0.878,1.035,0.531,0.743,0.955,0.849,0.531,0.849,0.849,1.138
상수도사업본부,상수도사업본부 청사,Y,N,도시가스(LNG),14.628,9.503,5.64,2.559,2.192,2.542,2.446,2.374,1.91,2.481,4.038,8.812
상수도사업본부,상수도사업본부 청사,Y,N,전력,84.472,70.447,66.585,58.324,58.87,72.572,93.014,92.444,73.631,64.989,64.691,85.125
상수도사업본부,상수도본부청사 경유차량,Y,N,가스/디젤 오일(경유),0.515,0.894,0.793,0.807,0.645,0.584,0.982,0.857,0.491,1.619,0.801,1.138
